0	0.000000
1	0.000000
2	-0.618034
3	0.381966
4	-0.118034
5	0.048633
6	-0.018034
7	0.006966
10	-0.002649
11	0.001014
12	-0.000387
13	0.000148
14	-0.000057
15	0.000022
16	-0.000008
17	0.000003
20	-0.000001
21	0.000000
22	-0.000000
23	0.000000
24	0.000000
25	0.000000
26	0.000000
27	0.000000
30	0.000000
31	0.000000
32	0.000000
33	0.000000
34	0.000000
35	0.000000
36	0.000000
37	0.000000
40	0.000000
41	0.000000
42	0.000000
43	0.000000
44	0.000000
45	-0.000000
46	0.000000
47	0.000000
50	0.000000
51	0.000000
52	0.000000
53	-0.000000
54	-0.000000
55	0.000000
56	0.000000
57	0.000000
60	0.000000
61	0.000000
62	-0.000000
63	0.000000
64	0.000000
65	0.000000
66	-0.000000
67	0.000000
70	0.000000
71	-0.000000
72	-0.000000
73	0.000000
74	0.000000
75	0.000000
76	-0.000000
77	0.000000
100	0.000000
101	0.000000
102	-0.000000
103	0.000000
104	0.000000
105	0.000000
106	0.000000
107	0.000000
110	-0.000000
111	0.000000
112	0.000000
113	0.000000
114	-0.000000
115	0.000000
116	0.000000
117	-0.000000
120	0.000000
121	0.000000
122	0.000000
123	0.000000
124	-0.000000
125	0.000000
126	0.000000
127	-0.000000
130	0.000000
131	0.000000
132	-0.000000
133	0.000000
134	0.000000
135	0.000000
136	-1.512008
137	8.813643
140	-0.522172
141	-0.952989
142	-0.990157
143	0.974635
144	-1.384618
145	-1.270462
146	2.259064
147	-0.360109
150	0.176926
151	-0.060919
152	-1.017773
153	-0.687924
154	-1.409158
155	4.169493
156	-0.445249
157	-1.081718
160	-1.207901
161	1.820202
162	-0.327187
163	-1.191746
164	-1.435315
165	4.854849
166	-0.463543
167	0.248149
170	-1.323514
171	-1.437446
172	4.919445
173	-0.465070
174	0.249296
175	-0.082510
176	-1.046687
177	-0.757873
200	0.544538
201	-1.171710
202	-0.654080
203	0.419360
204	-1.286388
205	-1.097997
206	1.304906
207	-0.275913
210	-1.586231
211	30.825378
212	-0.587211
213	-1.258762
214	2.165376
215	-1.538789
216	12.000995
217	-0.544607
220	-0.709378
221	-0.643280
222	-0.747064
223	-0.795916
224	-1.014603
225	1.039156
226	-1.247626
227	-0.634042
230	0.398235
231	-1.490893
232	7.247222
233	-0.505234
234	-0.810720
235	-0.731150
236	-1.014694
237	-1.486870
240	7.005986
241	-0.502079
242	0.278059
243	-1.146110
244	-0.735588
245	0.515180
246	-1.337361
247	-1.288223
250	2.414007
251	-0.370021
252	0.183239
253	-1.478879
254	6.568198
255	-0.495878
256	-0.834611
257	-0.755531
260	-1.097972
261	1.304812
262	-1.354380
263	-0.915691
264	0.805772
265	-0.205460
266	-1.611165
267	144.953323
270	-0.611211
271	-1.302814
272	2.554356
273	-0.378363
274	-0.840541
275	-0.655556
276	-0.954360
277	-1.183538
300	1.683484
301	-0.315143
302	-0.959273
303	-0.783136
304	-1.436220
305	4.882092
306	-0.464191
307	-1.229728
